%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
32036000000,13,31972000000,map,0.391538153191,1.00378561178,0.0,0.0,0.0,0.0829206691585,0.996556151266,0.289574935369,-0.0261260891107,0.0,0.0,0.0,0.0,-0.0261260891107,0.265264450459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0715894299873
32236000000,14,32172000000,map,0.38582754526,0.983945200412,0.0,0.0,0.0,-0.0277708517269,0.999614315521,0.285975389312,-0.0333502831862,0.0,0.0,0.0,0.0,-0.0333502831862,0.265520310483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0725831846723
38832000000,15,38772000000,map,0.589031031904,0.960333514223,0.0,0.0,0.0,-0.100223483117,0.994964950856,0.280418909495,-0.0359986527457,0.0,0.0,0.0,0.0,-0.0359986527457,0.270159467808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718294733253
39835000000,16,39772000000,map,0.784089167623,0.935525832354,0.0,0.0,0.0,-0.0897864785822,0.995961037523,0.278297770876,-0.0381002834431,0.0,0.0,0.0,0.0,-0.0381002834431,0.280361320341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0729121432117
40840000000,17,40772000000,map,0.977860089804,0.918265580983,0.0,0.0,0.0,-0.0276452058399,0.999617798258,0.275932180468,-0.0574393401487,0.0,0.0,0.0,0.0,-0.0574393401487,0.308753233284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750270568163
41833000000,18,41772000000,map,1.1759595866,0.937917122647,0.0,0.0,0.0,0.0354738889886,0.99937060353,0.284422848731,-0.0670809575654,0.0,0.0,0.0,0.0,-0.0670809575654,0.334303391882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0715510989959
42838000000,19,42773000000,map,1.35945176108,0.973490538802,0.0,0.0,0.0,0.0708939133206,0.997483861049,0.288267219127,-0.0834697201866,0.0,0.0,0.0,0.0,-0.0834697201866,0.36230628122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0724039994629
44434000000,20,44372000000,map,1.58612146574,0.969781710192,0.0,0.0,0.0,0.0215199629195,0.999768418783,0.285593673823,-0.106710340365,0.0,0.0,0.0,0.0,-0.106710340365,0.425573544037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0726390668004
50436000000,21,50373000000,map,1.72145810265,0.962215337775,0.0,0.0,0.0,-0.0952596272853,0.995452461652,0.278647495789,-0.123201113176,0.0,0.0,0.0,0.0,-0.123201113176,0.470547348496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0745494592426
50834000000,22,50773000000,map,1.80040659153,0.927451575463,0.0,0.0,0.0,-0.249101809572,0.968477304054,0.276228531434,-0.130478192211,0.0,0.0,0.0,0.0,-0.130478192211,0.508522670937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0791036998367
51236000000,23,51173000000,map,1.85774722278,0.863432175417,0.0,0.0,0.0,-0.382912793888,0.923784494499,0.26853924679,-0.127126795448,0.0,0.0,0.0,0.0,-0.127126795448,0.542274690722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0794166130619
51637000000,24,51573000000,map,1.89543998193,0.809914017373,0.0,0.0,0.0,-0.481012607409,0.876713677043,0.255810177569,-0.121561308456,0.0,0.0,0.0,0.0,-0.121561308456,0.557183982381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779042272394
52235000000,25,52173000000,map,1.94520392349,0.697283003525,0.0,0.0,0.0,-0.592398927895,0.805644779185,0.249321592734,-0.115716391416,0.0,0.0,0.0,0.0,-0.115716391416,0.574006914398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759807974485
53232000000,26,53173000000,map,1.98675601912,0.47017144175,0.0,0.0,0.0,-0.678033153649,0.735031320797,0.233897695203,-0.0890080372054,0.0,0.0,0.0,0.0,-0.0890080372054,0.605741200014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080360724233
54234000000,27,54173000000,map,1.99655814662,0.273167591537,0.0,0.0,0.0,-0.706892447839,0.707321049586,0.224878115476,-0.0599600444523,0.0,0.0,0.0,0.0,-0.0599600444523,0.613040155826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815953241847
55833000000,28,55773000000,map,2.00252696615,0.057331040427,0.0,0.0,0.0,-0.728771148259,0.68475733911,0.231967121649,-0.0305734853948,0.0,0.0,0.0,0.0,-0.0305734853948,0.597457153603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0790801752901
